Title,Subtitle,Image,Author,Publication,Year,Month,Day,Tag,Reading_Time,Claps,Comment,Author_url,Article_Link
Whats the Best Pokmon Type? The Power of Metrics,NaN,1,Luciano Strika,Towards Data Science,2018,9,2,data-science,7,69,0,https://towardsdatascience.com/@StrikingLoo?source=tag_archive---------2---------------------,https://towardsdatascience.com/recreational-data-science-whats-the-best-pok%C3%A9mon-type-d3fcd28ea740
Can you solve a person detection task in 10 minutes?,NaN,1,Supervise.ly,Hacker Noon,2018,9,2,data-science,8,337,0,https://hackernoon.com/@deepsystems?source=tag_archive---------3---------------------,https://hackernoon.com/can-you-solve-a-person-detection-task-in-10-minutes-74fba061194c
A blundering guide to making a deep actor-critic bot for stock trading,NaN,1,Tom Grek,Towards Data Science,2018,9,2,data-science,12,140,0,https://towardsdatascience.com/@tomgrek?source=tag_archive---------4---------------------,https://towardsdatascience.com/a-blundering-guide-to-making-a-deep-actor-critic-bot-for-stock-trading-c3591f7e29c2
NaN," ,        .",1,Vit Cheremisinov,statistics experiments,2018,9,2,data-science,3,133,0,https://medium.com/@vitcheremisinov?source=tag_archive---------5---------------------,https://medium.com/statistics-experiments/%D1%87%D1%82%D0%BE-%D0%B1%D1%83%D0%B4%D0%B5%D1%82-%D0%B5%D1%81%D0%BB%D0%B8-%D0%B8%D1%81%D0%BF%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D0%BF%D0%B0%D1%80%D0%B0%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9-%D0%BA%D1%80%D0%B8%D1%82%D0%B5%D1%80%D0%B8%D0%B9-%D0%BD%D0%B0-%D0%BD%D0%B5%D0%BD%D0%BE%D1%80%D0%BC%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE-%D1%80%D0%B0%D1%81%D0%BF%D1%80%D0%B5%D0%B4%D0%B5%D0%BB%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9-%D0%B2%D1%8B%D0%B1%D0%BE%D1%80%D0%BA%D0%B5-94be5d2afaa7
The journey of Dutch DJs around the world,"Being a world class DJ isnt all about glitter and glamour. I mean, traveling all",1,Bo Plantinga,Towards Data Science,2018,9,2,data-science,6,104,0,https://towardsdatascience.com/@boplantinga?source=tag_archive---------6---------------------,https://towardsdatascience.com/the-journey-of-dutch-djs-around-the-world-d7434966ce9d
Um estudo sobre modelos de aprendizagem baseados em rvores com desafio do Kaggle,"Um estudo aplicado de modelos de aprendizagem baseados em rvores utilizando a base de dados do Kaggle para prever o preo final de casas residenciais em Ames, Iowa, utilizando uma variedade",0,Fellipe Gomes,Ensina.AI,2018,9,2,data-science,15,68,0,https://medium.com/@gomesfellipe?source=tag_archive---------7---------------------,https://medium.com/ensina-ai/um-estudo-sobre-modelos-de-aprendizagem-baseados-em-%C3%A1rvores-com-desafio-do-kaggle-a73c32abc9f1
Healthcare Dataset with Spark,Spark,1,Alena Nazarava,Towards Data Science,2018,9,2,data-science,6,25,0,https://towardsdatascience.com/@alena.nazarava0604?source=tag_archive---------8---------------------,https://towardsdatascience.com/healthcare-dataset-with-spark-6bf48019892b
NaN,   A/B .  ,1,Vit Cheremisinov,statistics experiments,2018,9,2,data-science,4,32,0,https://medium.com/@vitcheremisinov?source=tag_archive---------9---------------------,https://medium.com/statistics-experiments/%D0%BD%D0%B5%D0%BF%D0%B0%D1%80%D0%B0%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5-%D0%BC%D0%B5%D1%82%D0%BE%D0%B4%D1%8B-%D0%B4%D0%BB%D1%8F-a-b-%D1%82%D0%B5%D1%81%D1%82%D0%BE%D0%B2-%D1%81%D1%87%D0%B8%D1%82%D0%B0%D0%B5%D0%BC-%D0%B4%D0%B5%D0%BD%D1%8C%D0%B3%D0%B8-4b854df151cd
How Might Ethical Data Principles Borrow from Social Work?,NaN,1,Catherine D'Ignazio,NaN,2018,9,2,data-science,4,26,0,https://medium.com/@kanarinka?source=tag_archive---------10---------------------,https://medium.com/@kanarinka/how-might-ethical-data-principles-borrow-from-social-work-3162f08f0353
Analyzing Medium posts to understand impact of Cambridge Analytica Scandal,Has there been a focus shift towards privacy since the scandal?,0,Aiswarya Ramachandran,Analytics Vidhya,2018,9,2,data-science,6,122,0,https://medium.com/@aiswaryar?source=tag_archive---------11---------------------,https://medium.com/analytics-vidhya/analyzing-medium-posts-to-understand-impact-of-cambridge-analytica-scandal-5841f46703d6
Predicting Cost of Tender with 99.24% Accuracy : Miracle!,Decision Tree Classifier ,0,Uddeshya Singh,Hacker Noon,2018,9,2,data-science,4,495,0,https://hackernoon.com/@singhuddeshyaofficial?source=tag_archive---------12---------------------,https://hackernoon.com/predicting-cost-of-tender-with-99-24-accuracy-miracle-6cc264621972
Analysing Lancashires Mental Wellbeing with Node and R,NaN,1,Peter Hughes,NaN,2018,9,2,data-science,14,22,0,https://medium.com/@peterhughes_uk?source=tag_archive---------13---------------------,https://medium.com/@peterhughes_uk/analysing-lancashires-mental-wellbeing-with-node-and-r-e75098e4e3da
Machine Learning Tutorial #4: Deployment,"Topics: Stack Selection, Heroku, Testing",1,Adam Novotny,Coinmonks,2018,9,2,data-science,5,65,0,https://medium.com/@adam5ny?source=tag_archive---------14---------------------,https://medium.com/coinmonks/machine-learning-tutorial-4-deployment-79764123e9e1
"Machine Learning : What, Why and How?","Artificial Intelligence, Machine Learning and Deep Learning are the terms you have been",1,Nitish Bhardwaj,NaN,2018,9,2,data-science,4,150,0,https://medium.com/@nitish11?source=tag_archive---------15---------------------,https://medium.com/@nitish11/machine-learning-what-why-and-how-eca5665e90b2
 Big Data, big data     big data  IT,1,devplanter Team,devplanter,2018,9,2,data-science,2,2,0,https://medium.com/@devplanter?source=tag_archive---------16---------------------,https://medium.com/devplanter/%E0%B8%A3%E0%B8%B9%E0%B9%89%E0%B8%88%E0%B8%B1%E0%B8%81%E0%B8%81%E0%B8%B1%E0%B8%9A-big-data-d97a680ae3fa
"Indexing in Python for Data Scientists (NumPy, Pandas and Python native)",NaN,0,Atul kumar,NaN,2018,9,2,data-science,7,3,0,https://medium.com/@_AtulKumar_?source=tag_archive---------17---------------------,https://medium.com/@_AtulKumar_/indexing-in-python-for-data-scientists-numpy-pandas-and-python-native-4bf7617211ad
Where to start? On the path to become a bioinformatician / computational biologist,"TLDR: Choose a language, choose an IDE, make sure you are on the right path, and join nurturing communities",0,Deena Blumenkrantz,Deena Does Data Science,2018,9,2,data-science,5,30,0,https://medium.com/@deenab?source=tag_archive---------18---------------------,https://medium.com/deena-does-data-science/where-to-start-on-the-path-to-become-a-data-scientist-part-1-caa60fd20558
Heres What Up to 1000Mbps Actually Means in Seattle,A Data-Oriented Interpretation.,0,Tony Ge,NaN,2018,9,2,data-science,4,0,0,https://medium.com/@tonxy?source=tag_archive---------19---------------------,https://medium.com/@tonxy/heres-what-up-to-1000mbps-actually-means-in-seattle-ea26e22aa514
How to develop your AI intuition,"In this article, Im going to help you develop your inner compass to navigate this uncharted field.",1,Prince Canuma,NaN,2018,9,2,data-science,5,12,0,https://medium.com/@prince.canuma?source=tag_archive---------20---------------------,https://medium.com/@prince.canuma/how-to-develop-your-ai-intuition-2148bd23e1a0
ElasticSearchConvert your index data into Pandas DataFrame,"If you work with Pandas and use elasticsearch, chances are you may have a requirement to convert your index data into a Pandas Dataframe.",0,Sonal Patni,NaN,2018,9,2,data-science,1,1,0,https://medium.com/@patni.sonal?source=tag_archive---------21---------------------,https://medium.com/@patni.sonal/elasticsearch-convert-your-index-data-into-pandas-dataframe-30c44ada2407
"Weeknotes 28: data, and more data",A short(ish) weeknote this week (to reflect the short week!),1,Cate McLaurin,Web of Weeknotes,2018,9,2,data-science,3,46,0,https://weeknot.es/@cate.mclaurin?source=tag_archive---------22---------------------,https://weeknot.es/weeknotes-28-data-and-more-data-a3ef85a330af
